utterance_id,text_length_chars,text_class,mode_requested,mode_dispatched,first_chunk_latency_seconds,total_audio_seconds,audio_sample_count,error_flag,wallclock_timestamp,qwen_tts_pin,torch_version,gpu_name
m-012,48,medium,sentence_stream,sentence_stream,5.540639877319336,3.6569,87765,,2026-05-08T01:47:17.178817+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-013,56,medium,sentence_stream,sentence_stream,4.922618865966797,3.0969,74325,,2026-05-08T01:47:22.721962+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-014,57,medium,sentence_stream,sentence_stream,6.61089015007019,3.5769,85845,,2026-05-08T01:47:27.650600+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-015,47,medium,sentence_stream,sentence_stream,11.001532554626465,3.6569,87765,,2026-05-08T01:47:34.267016+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-016,55,medium,sentence_stream,sentence_stream,8.350059747695923,3.2569,78165,,2026-05-08T01:47:45.274552+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-017,52,medium,sentence_stream,sentence_stream,8.782908201217651,4.1369,99285,,2026-05-08T01:47:53.688073+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-001,181,long,sentence_stream,sentence_stream,6.673745393753052,12.1937,292650,,2026-05-08T01:48:02.477491+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-002,180,long,sentence_stream,sentence_stream,16.334627628326416,10.9369,262485,,2026-05-08T01:48:21.887732+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-003,192,long,sentence_stream,sentence_stream,14.167391777038574,10.0569,241365,,2026-05-08T01:48:38.228159+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-004,198,long,sentence_stream,sentence_stream,7.564071893692017,10.9938,263850,,2026-05-08T01:48:52.418685+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-005,197,long,sentence_stream,sentence_stream,21.12460732460022,13.8169,331605,,2026-05-08T01:49:09.250229+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-006,200,long,sentence_stream,sentence_stream,8.557252168655396,11.0738,265770,,2026-05-08T01:49:30.378344+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-007,212,long,sentence_stream,sentence_stream,25.25273823738098,16.8569,404565,,2026-05-08T01:49:47.173974+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-008,194,long,sentence_stream,sentence_stream,7.428172826766968,12.3537,296490,,2026-05-08T01:50:12.433794+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-009,203,long,sentence_stream,sentence_stream,9.402663469314575,11.9537,286890,,2026-05-08T01:50:30.885705+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-010,207,long,sentence_stream,sentence_stream,18.095395803451538,11.9769,287445,,2026-05-08T01:50:48.743823+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-011,197,long,sentence_stream,sentence_stream,14.351650953292847,11.5538,277290,,2026-05-08T01:51:06.846558+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-012,208,long,sentence_stream,sentence_stream,11.50369381904602,12.5137,300330,,2026-05-08T01:51:24.328501+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-013,163,long,sentence_stream,sentence_stream,16.23947811126709,10.8569,260565,,2026-05-08T01:51:43.183158+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-014,158,long,sentence_stream,sentence_stream,18.181782722473145,11.6569,279765,,2026-05-08T01:51:59.426868+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-015,190,long,sentence_stream,sentence_stream,16.77764916419983,10.8569,260565,,2026-05-08T01:52:17.616177+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-016,203,long,sentence_stream,sentence_stream,12.66068720817566,12.9138,309930,,2026-05-08T01:52:34.401326+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
